"卡牌ID"	"卡名"	"类型"	"稀有度"	"费用"	"目标"	"标签/关键词"	"当前中文描述"	"备注"
"HighSongForm"	"高歌形态"	"能力"	"稀有"	"3"	"自己"	"虚无"	"[gold]大狗嚼[/gold]不再消耗。"	"根据当前代码与本地化自动生成"
"HoldOn"	"强撑"	"技能"	"罕见"	"1"	"自己"	"无"	"获得{Block:diff()}点格挡。本回合结束时免疫[gold]流血[/gold]伤害。"	"根据当前代码与本地化自动生成"
"IntimidatingHowl"	"威吓嚎叫"	"技能"	"普通"	"0"	"全体敌人"	"叫|消耗"	"给予所有敌人{WeakPower:diff()}层虚弱。下次大狗嚼获得相同效果。"	"根据当前代码与本地化自动生成"
"JoyOfRegen"	"再生之喜"	"技能"	"罕见"	"1"	"自己"	"消耗|保留"	"回复等同于自身[gold]流血[/gold]层数的生命值。移除自己的全部[gold]流血[/gold]。"	"根据当前代码与本地化自动生成"
"LickWounds"	"舔舐伤口"	"技能"	"罕见"	"1"	"自己"	"无"	"{IfUpgraded:show:移除自己全部的[gold]流血[/gold]。|移除自己一半的[gold]流血[/gold]。}"	"根据当前代码与本地化自动生成"
"Makeover"	"改头换面"	"技能"	"普通"	"0"	"自己"	"保留"	"移除自己的全部[gold]野性[/gold]。"	"根据当前代码与本地化自动生成"
"MightyBlow"	"大力一击"	"攻击"	"罕见"	"1"	"单体敌人"	"无"	"造成{Damage:diff()}点伤害。给予{BleedingPower:diff()}层[gold]流血[/gold]。获得{StrengthPower:diff()}点力量。"	"根据当前代码与本地化自动生成"
"PanicScamper"	"抱头鼠窜"	"技能"	"普通"	"1"	"自己"	"无"	"获得{Block:diff()}点格挡。本回合获得{WildnessPower:diff()}层[gold]野性[/gold]。"	"根据当前代码与本地化自动生成"
"PetrifiedSkin"	"石化皮肤"	"能力"	"罕见"	"1"	"自己"	"固有"	"你自身的[gold]流血[/gold]改为造成伤害而非失去生命值。"	"根据当前代码与本地化自动生成"
"PiercingScreech"	"刺耳尖叫"	"技能"	"普通"	"1"	"全体敌人"	"叫"	"给予所有敌人{BleedingPower:diff()}层[gold]流血[/gold]。下次大狗嚼获得相同效果。"	"根据当前代码与本地化自动生成"
"Prelude"	"前奏"	"技能"	"普通"	"1"	"自己"	"无"	"获得{Block:diff()}点格挡。接下来2个回合开始时，[gold]想嚼[/gold]{WantChew:diff()}。"	"根据当前代码与本地化自动生成"
"ProofOfDeath"	"死亡证明"	"技能"	"罕见"	"2"	"单体敌人"	"无"	"造成目标[gold]流血[/gold]层数2倍的伤害。如果其死亡，获得{Energy:diff()}点能量。"	"根据当前代码与本地化自动生成"
"RendingBite"	"撕咬攻击"	"攻击"	"普通"	"0"	"单体敌人"	"打击"	"造成{Damage:diff()}点伤害。给予{BleedingPower:diff()}层[gold]流血[/gold]。"	"根据当前代码与本地化自动生成"
"RipOpen"	"撕开"	"攻击"	"罕见"	"0"	"RandomEnemy"	"无"	"随机对敌人施加{BleedingPower:diff()}层[gold]流血[/gold]X次。"	"根据当前代码与本地化自动生成"
"StokeWildness"	"激发野性"	"技能"	"其他"	"1"	"自己"	"无"	"获得{Block:diff()}点格挡。本回合获得{WildnessPower:diff()}层[gold]野性[/gold]。"	"根据当前代码与本地化自动生成"
"SustainedCharge"	"持续蓄力"	"能力"	"罕见"	"1"	"自己"	"无"	"在你的回合开始时，[gold]想嚼[/gold]{WantChew:diff()}。"	"根据当前代码与本地化自动生成"
"TailWag"	"摇尾巴"	"技能"	"普通"	"1"	"自己"	"无"	"获得{WeakPower:diff()}层虚弱。本回合获得{WildnessPower:diff()}层[gold]野性[/gold]。"	"根据当前代码与本地化自动生成"
"VigilantHowl"	"警觉嚎叫"	"技能"	"普通"	"1"	"自己"	"叫"	"获得{Block:diff()}点格挡。下次大狗嚼获得相同效果。"	"根据当前代码与本地化自动生成"
"WarmUpVoice"	"开嗓"	"技能"	"普通"	"1"	"自己"	"无"	"抽{Cards}张牌。[gold]想嚼[/gold]{WantChew:diff()}。"	"根据当前代码与本地化自动生成"
"WiseHowl"	"智慧叫声"	"技能"	"罕见"	"0"	"自己"	"叫"	"下次大狗嚼获得{Energy:diff()}点能量。"	"根据当前代码与本地化自动生成"
